abap microsoft/aisdkforsapabap
python microsoft/sdnet
python microsoft/seqml
python microsoft/sgn
python microsoft/simmim
python microsoft/simplify-docx
python microsoft/simulated-trial-and-error
python microsoft/snca.pytorch
python microsoft/softteacher
python microsoft/som
python microsoft/spach
python microsoft/sparenet
python microsoft/sparta
python microsoft/stemgnn
python microsoft/styleswin
python microsoft/swin-transformer
python microsoft/syntheseus
python microsoft/synthmocap
python microsoft/table-pretraining
python microsoft/task_oriented_dialogue_as_dataflow_synthesis
python microsoft/tf2-gnn
python microsoft/tinytroupe
python microsoft/tora
python microsoft/torchscale
python microsoft/trace
python microsoft/transductive-vos.pytorch
python microsoft/transformercompression
python microsoft/trellis
python microsoft/tutel
python microsoft/uda
python microsoft/unicl
python microsoft/univl
python microsoft/ust
python microsoft/varuna
python microsoft/vidtok
python microsoft/vidur
python microsoft/view-adaptive-neural-networks-for-skeleton-based-human-action-recognition
python microsoft/vision-longformer
python microsoft/voxelpose-pytorch
python microsoft/vptq
python microsoft/vq-diffusion
python microsoft/vscode-mypy
python microsoft/vscode-python-tools-extension-template
python microsoft/vscode-tools-for-ai
python microsoft/wsl
python microsoft/xtreme-distil-transformers
python shopify/pyactiveresource
python shopify/shopify_django_app
python shopify/shopify_python_api
r azure/azureml-sdk-for-r
r azure/microsoft365r
r facebookincubator/geolift
r google/causalimpact
r microsoft/finnts
r microsoft/taganomaly
rich text format microsoft/vs-colorthemes
ruby aws/aws-record-ruby
ruby aws/aws-sdk-rails
ruby aws/homebrew-tap
ruby aws/opsworks-cookbooks
